reader 0 created.
reader 4 created.
reader 1 created.
reader 2 created.
writer on iteration 0. sharedBuffer is 1.
writer on iteration 1. sharedBuffer is 2.
writer on iteration 2. sharedBuffer is 3.
writer on iteration 3. sharedBuffer is 4.
writer on iteration 4. sharedBuffer is 5.
writer on iteration 5. sharedBuffer is 6.
writer on iteration 6. sharedBuffer is 7.
writer on iteration 7. sharedBuffer is 8.
writer on iteration 8. sharedBuffer is 9.
writer on iteration 9. sharedBuffer is 10.
writer on iteration 10. sharedBuffer is 11.
writer on iteration 11. sharedBuffer is 12.
writer on iteration 12. sharedBuffer is 13.
writer on iteration 13. sharedBuffer is 14.
writer on iteration 14. sharedBuffer is 15.
writer on iteration 15. sharedBuffer is 16.
writer on iteration 16. sharedBuffer is 17.
writer on iteration 17. sharedBuffer is 18.
writer on iteration 18. sharedBuffer is 19.
writer on iteration 19. sharedBuffer is 20.
writer on iteration 20. sharedBuffer is 21.
writer on iteration 21. sharedBuffer is 22.
writer on iteration 22. sharedBuffer is 23.
writer on iteration 23. sharedBuffer is 24.
writer on iteration 24. sharedBuffer is 25.
writer on iteration 25. sharedBuffer is 26.
writer on iteration 26. sharedBuffer is 27.
writer on iteration 27. sharedBuffer is 28.
writer on iteration 28. sharedBuffer is 29.
writer on iteration 29. sharedBuffer is 30.
reader 3 created.
writer on iteration 30. sharedBuffer is 31.
writer on iteration 31. sharedBuffer is 32.
writer on iteration 32. sharedBuffer is 33.
writer on iteration 33. sharedBuffer is 34.
writer on iteration 34. sharedBuffer is 35.
writer on iteration 35. sharedBuffer is 36.
writer on iteration 36. sharedBuffer is 37.
writer on iteration 37. sharedBuffer is 38.
writer on iteration 38. sharedBuffer is 39.
writer on iteration 39. sharedBuffer is 40.
reader 0 on iteration 0. sharedBuffer is 40.
reader 0 on iteration 1. sharedBuffer is 40.
reader 4 on iteration 0. sharedBuffer is 40.
reader 1 on iteration 0. sharedBuffer is 40.
reader 1 on iteration 1. sharedBuffer is 40.
reader 2 on iteration 0. sharedBuffer is 40.
reader 0 on iteration 2. sharedBuffer is 40.
reader 2 on iteration 1. sharedBuffer is 40.
reader 2 on iteration 2. sharedBuffer is 40.
reader 4 on iteration 1. sharedBuffer is 40.
reader 0 on iteration 3. sharedBuffer is 40.
reader 3 on iteration 0. sharedBuffer is 40.
reader 1 on iteration 2. sharedBuffer is 40.
reader 0 on iteration 4. sharedBuffer is 40.
reader 4 on iteration 2. sharedBuffer is 40.
reader 0 on iteration 5. sharedBuffer is 40.
reader 0 on iteration 6. sharedBuffer is 40.
reader 0 on iteration 7. sharedBuffer is 40.
reader 0 on iteration 8. sharedBuffer is 40.
reader 0 on iteration 9. sharedBuffer is 40.
reader 3 on iteration 1. sharedBuffer is 40.
reader 0 on iteration 10. sharedBuffer is 40.
reader 4 on iteration 3. sharedBuffer is 40.
reader 0 on iteration 11. sharedBuffer is 40.
reader 4 on iteration 4. sharedBuffer is 40.
reader 1 on iteration 3. sharedBuffer is 40.
reader 0 on iteration 12. sharedBuffer is 40.
reader 2 on iteration 3. sharedBuffer is 40.
reader 4 on iteration 5. sharedBuffer is 40.
reader 3 on iteration 2. sharedBuffer is 40.
reader 2 on iteration 4. sharedBuffer is 40.
reader 2 on iteration 5. sharedBuffer is 40.
reader 2 on iteration 6. sharedBuffer is 40.
reader 2 on iteration 7. sharedBuffer is 40.
reader 2 on iteration 8. sharedBuffer is 40.
reader 1 on iteration 4. sharedBuffer is 40.
reader 0 on iteration 13. sharedBuffer is 40.
reader 3 on iteration 3. sharedBuffer is 40.
reader 2 on iteration 9. sharedBuffer is 40.
reader 3 on iteration 4. sharedBuffer is 40.
reader 0 on iteration 14. sharedBuffer is 40.
reader 0 on iteration 15. sharedBuffer is 40.
reader 0 on iteration 16. sharedBuffer is 40.
reader 0 on iteration 17. sharedBuffer is 40.
reader 2 on iteration 10. sharedBuffer is 40.
reader 1 on iteration 5. sharedBuffer is 40.
reader 3 on iteration 5. sharedBuffer is 40.
reader 1 on iteration 6. sharedBuffer is 40.
reader 4 on iteration 6. sharedBuffer is 40.
reader 2 on iteration 11. sharedBuffer is 40.
reader 1 on iteration 7. sharedBuffer is 40.
reader 1 on iteration 8. sharedBuffer is 40.
reader 1 on iteration 9. sharedBuffer is 40.
reader 1 on iteration 10. sharedBuffer is 40.
reader 1 on iteration 11. sharedBuffer is 40.
reader 1 on iteration 12. sharedBuffer is 40.
reader 4 on iteration 7. sharedBuffer is 40.
reader 4 on iteration 8. sharedBuffer is 40.
reader 4 on iteration 9. sharedBuffer is 40.
reader 4 on iteration 10. sharedBuffer is 40.
reader 0 on iteration 18. sharedBuffer is 40.
reader 4 on iteration 11. sharedBuffer is 40.
reader 4 on iteration 12. sharedBuffer is 40.
reader 4 on iteration 13. sharedBuffer is 40.
reader 4 on iteration 14. sharedBuffer is 40.
reader 4 on iteration 15. sharedBuffer is 40.
reader 4 on iteration 16. sharedBuffer is 40.
reader 4 on iteration 17. sharedBuffer is 40.
reader 4 on iteration 18. sharedBuffer is 40.
reader 4 on iteration 19. sharedBuffer is 40.
reader 4 on iteration 20. sharedBuffer is 40.
reader 4 on iteration 21. sharedBuffer is 40.
reader 0 on iteration 19. sharedBuffer is 40.
reader 0 on iteration 20. sharedBuffer is 40.
reader 0 on iteration 21. sharedBuffer is 40.
reader 0 on iteration 22. sharedBuffer is 40.
reader 0 on iteration 23. sharedBuffer is 40.
reader 0 on iteration 24. sharedBuffer is 40.
reader 0 on iteration 25. sharedBuffer is 40.
reader 0 on iteration 26. sharedBuffer is 40.
reader 1 on iteration 13. sharedBuffer is 40.
reader 3 on iteration 6. sharedBuffer is 40.
reader 4 on iteration 22. sharedBuffer is 40.
reader 1 on iteration 14. sharedBuffer is 40.
reader 1 on iteration 15. sharedBuffer is 40.
reader 1 on iteration 16. sharedBuffer is 40.
reader 1 on iteration 17. sharedBuffer is 40.
reader 2 on iteration 12. sharedBuffer is 40.
reader 0 on iteration 27. sharedBuffer is 40.
reader 2 on iteration 13. sharedBuffer is 40.
reader 2 on iteration 14. sharedBuffer is 40.
reader 0 on iteration 28. sharedBuffer is 40.
reader 2 on iteration 15. sharedBuffer is 40.
reader 1 on iteration 18. sharedBuffer is 40.
reader 0 on iteration 29. sharedBuffer is 40.
reader 1 on iteration 19. sharedBuffer is 40.
reader 4 on iteration 23. sharedBuffer is 40.
reader 3 on iteration 7. sharedBuffer is 40.
reader 1 on iteration 20. sharedBuffer is 40.
reader 2 on iteration 16. sharedBuffer is 40.
reader 4 on iteration 24. sharedBuffer is 40.
reader 2 on iteration 17. sharedBuffer is 40.
reader 1 on iteration 21. sharedBuffer is 40.
reader 3 on iteration 8. sharedBuffer is 40.
reader 0 on iteration 30. sharedBuffer is 40.
reader 2 on iteration 18. sharedBuffer is 40.
reader 1 on iteration 22. sharedBuffer is 40.
reader 4 on iteration 25. sharedBuffer is 40.
reader 3 on iteration 9. sharedBuffer is 40.
reader 1 on iteration 23. sharedBuffer is 40.
reader 0 on iteration 31. sharedBuffer is 40.
reader 4 on iteration 26. sharedBuffer is 40.
reader 4 on iteration 27. sharedBuffer is 40.
reader 4 on iteration 28. sharedBuffer is 40.
reader 4 on iteration 29. sharedBuffer is 40.
reader 0 on iteration 32. sharedBuffer is 40.
reader 2 on iteration 19. sharedBuffer is 40.
reader 3 on iteration 10. sharedBuffer is 40.
reader 0 on iteration 33. sharedBuffer is 40.
reader 2 on iteration 20. sharedBuffer is 40.
reader 0 on iteration 34. sharedBuffer is 40.
reader 4 on iteration 30. sharedBuffer is 40.
reader 3 on iteration 11. sharedBuffer is 40.
reader 4 on iteration 31. sharedBuffer is 40.
reader 4 on iteration 32. sharedBuffer is 40.
reader 0 on iteration 35. sharedBuffer is 40.
reader 2 on iteration 21. sharedBuffer is 40.
reader 3 on iteration 12. sharedBuffer is 40.
reader 0 on iteration 36. sharedBuffer is 40.
reader 2 on iteration 22. sharedBuffer is 40.
reader 4 on iteration 33. sharedBuffer is 40.
reader 3 on iteration 13. sharedBuffer is 40.
reader 2 on iteration 23. sharedBuffer is 40.
reader 4 on iteration 34. sharedBuffer is 40.
reader 2 on iteration 24. sharedBuffer is 40.
reader 0 on iteration 37. sharedBuffer is 40.
reader 4 on iteration 35. sharedBuffer is 40.
reader 4 on iteration 36. sharedBuffer is 40.
reader 1 on iteration 24. sharedBuffer is 40.
reader 0 on iteration 38. sharedBuffer is 40.
reader 0 on iteration 39. sharedBuffer is 40.
reader 0 on iteration 40. sharedBuffer is 40.
reader 0 on iteration 41. sharedBuffer is 40.
reader 0 on iteration 42. sharedBuffer is 40.
reader 2 on iteration 25. sharedBuffer is 40.
reader 0 on iteration 43. sharedBuffer is 40.
reader 0 on iteration 44. sharedBuffer is 40.
reader 0 on iteration 45. sharedBuffer is 40.
reader 0 on iteration 46. sharedBuffer is 40.
reader 0 on iteration 47. sharedBuffer is 40.
reader 2 on iteration 26. sharedBuffer is 40.
reader 4 on iteration 37. sharedBuffer is 40.
reader 2 on iteration 27. sharedBuffer is 40.
reader 1 on iteration 25. sharedBuffer is 40.
